date,stock_id,stock_name,trade_volume,trade_value,open_price,high_price,low_price,close_price,price_change,transaction_count
2026-01-26,7631,聚賢研發-創,17245,2067937,118.5,122.5,118.0,122.5,0.0,18
2026-01-26,7705,三商餐飲,36818,1461572,39.4,39.85,39.4,39.7,0.3,61
2026-01-26,7711,永擎,176177,41451327,241.0,241.5,232.5,236.0,-4.0,566
2026-01-26,7721,微程式,56844,2757892,48.0,49.15,48.0,48.15,0.0,58
2026-01-26,7722,LINEPAY,207481,103631433,520.0,520.0,490.5,492.0,-28.0,2255
2026-01-26,7730,暉盛-創,18146,1852818,105.0,105.0,101.0,102.0,0.5,20
2026-01-26,7732,金興精密,19418,742289,38.55,38.55,38.0,38.0,0.0,26
2026-01-26,7736,虎山,372060,34563828,88.2,88.4,88.2,88.4,0.2,11
2026-01-26,7740,熙特爾-創,63556,10605326,164.5,170.0,164.0,164.0,0.0,72
2026-01-26,7749,意騰-KY,635415,274832594,448.0,457.0,418.0,420.5,-23.5,1347
2026-01-26,7750,新代,323658,295407998,920.0,928.0,899.0,920.0,-10.0,4768
2026-01-26,7765,中華資安,48115,12502543,263.0,263.0,259.0,259.5,-4.0,822
2026-01-26,7769,鴻勁,565094,2143311100,3730.0,3825.0,3730.0,3795.0,65.0,2656
2026-01-26,7780,大研生醫*,16430467,451203031,29.0,29.05,26.0,27.4,-1.45,12188
2026-01-26,7786,東方風能,455889,71716446,160.0,163.0,155.0,159.0,1.5,342
2026-01-26,7788,松川精密,1333749,230427598,167.5,183.5,162.0,178.0,7.0,1399
2026-01-26,7791,皇家可口,41891,2975870,71.1,71.4,70.8,71.1,0.0,45
2026-01-26,7795,長廣,1830934,666138962,365.0,380.0,353.0,356.0,-29.0,3539
2026-01-26,7799,禾榮科,252539,109370373,445.5,445.5,428.0,429.0,-12.0,853
2026-01-26,8011,台通,1497638,33715573,22.6,22.85,22.35,22.35,-0.3,828
2026-01-26,8016,矽創,419285,80527369,193.0,193.5,191.0,191.5,-0.5,732
2026-01-26,8021,尖點,2634064,600576755,228.0,232.5,225.5,229.5,-3.5,4208
2026-01-26,8028,昇陽半導體,3583737,625870685,175.0,177.5,172.5,174.5,-0.5,4019
2026-01-26,8033,雷虎,926883,143461908,155.0,156.0,153.0,156.0,4.5,1038
2026-01-26,8039,台虹,36562072,3480944516,95.2,99.9,92.1,93.4,-0.8,32782
2026-01-26,8045,達運光電,1773417,149288534,79.7,87.6,77.2,87.6,7.9,2036
2026-01-26,8046,南電,5186357,1924903760,374.0,375.0,368.5,370.0,-12.0,6688
2026-01-26,8070,長華*,7217681,350746138,49.3,49.7,47.5,48.85,-0.5,9770
2026-01-26,8072,陞泰,175212,5613705,31.95,32.25,31.9,32.2,0.3,152
2026-01-26,8081,致新,524998,120699955,232.5,233.5,228.0,232.5,0.0,3222
2026-01-26,8101,華冠,4576,71790,15.75,15.75,15.65,15.65,0.0,19
2026-01-26,8103,瀚荃,2257890,217816841,95.9,99.8,94.3,95.6,-0.4,7347
2026-01-26,8104,錸寶,2677861,102051770,38.55,39.0,37.6,38.0,-1.6,2767
2026-01-26,8105,凌巨,2898240,40241948,13.7,14.0,13.7,14.0,0.4,1201
2026-01-26,8110,華東,60960607,4893233455,77.5,83.0,76.3,83.0,7.5,45470
2026-01-26,8112,至上,26400858,2050605379,75.5,79.5,75.2,78.4,3.7,17137
2026-01-26,8112A,至上甲特,68521,3057992,44.6,44.7,44.6,44.65,0.05,73
2026-01-26,8114,振樺電,580413,111198478,193.5,196.0,190.5,191.0,-3.0,723
2026-01-26,8131,福懋科,55077275,4512691339,78.3,85.3,78.0,85.3,7.7,31188
2026-01-26,8150,南茂,41168460,2721691101,66.1,67.3,64.5,66.2,0.3,29245
2026-01-26,8162,微矽電子-創,200679,7811559,39.9,39.9,38.4,38.8,-0.95,196
2026-01-26,8163,達方,917214,30222786,32.9,33.15,32.7,32.75,-0.15,690
2026-01-26,8201,無敵,243747,3745281,15.5,15.55,15.0,15.4,-0.1,163
2026-01-26,8210,勤誠,2458018,2385928641,980.0,994.0,949.0,971.0,2.0,9047
2026-01-26,8213,志超,1792427,64461582,36.0,36.1,35.75,35.95,0.15,817
2026-01-26,8215,明基材,1671314,34665553,20.8,21.1,20.45,20.9,0.1,672
2026-01-26,8222,寶一,301429,13091924,43.0,43.8,43.0,43.3,0.45,321
2026-01-26,8249,菱光,2017150,120769251,59.8,60.8,59.1,59.3,-0.1,2262
2026-01-26,8261,富鼎,1451592,139038120,96.3,96.8,95.2,95.9,-1.0,1364
2026-01-26,8271,宇瞻,7934279,926099371,114.5,119.0,113.0,116.5,4.5,13675
2026-01-26,8341,日友,491752,38782356,79.6,79.7,78.1,78.6,-1.0,763
2026-01-26,8367,建新國際,35367,1528895,43.7,43.8,42.8,43.1,-0.3,24
2026-01-26,8374,羅昇,3237714,306407413,91.0,98.0,90.7,95.5,4.3,2887
2026-01-26,8404,百和興業-KY,437474,10359411,23.5,23.95,23.45,23.95,0.45,280
2026-01-26,8411,福貞-KY,62270,748580,12.1,12.1,11.9,12.1,0.0,90
2026-01-26,8422,可寧衛*,82363093,3303797042,40.7,41.5,39.25,40.1,-0.3,44504
2026-01-26,8429,金麗-KY,358772,2703294,7.54,7.58,7.47,7.56,0.02,259
2026-01-26,8438,昶昕,3345838,226837366,69.0,71.2,66.0,67.9,-1.4,2394
2026-01-26,8442,威宏-KY,49663,3518208,70.5,71.3,70.5,70.7,0.3,58
2026-01-26,8443,阿瘦,8013,92001,11.55,11.55,11.5,11.5,0.0,96
2026-01-26,8454,富邦媒,317425,60994396,193.5,194.0,191.0,191.5,-2.0,1147
2026-01-26,8462,柏文,95805,14163167,147.5,148.5,147.0,147.5,-1.0,143
2026-01-26,8463,潤泰材,59282,1581985,26.7,26.8,26.6,26.6,-0.1,49
2026-01-26,8464,億豐,608601,255324640,422.0,426.0,416.0,416.5,-4.0,646
2026-01-26,8466,美吉吉-KY,78755,1791032,23.25,23.25,22.5,22.75,-0.4,79
2026-01-26,8467,波力-KY,29465,5520450,185.5,189.0,185.5,188.0,-0.5,37
2026-01-26,8473,山林水,434167,16953600,38.8,39.4,38.8,39.15,0.45,360
2026-01-26,8476,台境*,1530305,31570504,20.8,20.8,20.45,20.65,0.2,866
2026-01-26,8478,東哥遊艇,131003,25131240,191.5,193.0,190.0,192.0,0.5,161
2026-01-26,8481,政伸,20202,854944,42.3,42.55,42.15,42.5,-0.05,17
2026-01-26,8482,商億-KY,6000,286200,47.85,47.9,47.5,47.5,0.45,5
2026-01-26,8487,愛爾達-創,16643,1338365,80.6,80.6,80.2,80.2,-0.2,69
2026-01-26,8488,吉源-KY,15004,149608,10.0,10.0,9.95,9.95,-0.05,11
2026-01-26,8499,鼎炫-KY,312218,101561625,316.5,332.5,311.0,329.0,16.5,505
2026-01-26,8926,台汽電,1251974,56087759,44.7,45.25,44.0,44.75,0.65,1446
2026-01-26,8940,新天地,90143,1841488,20.45,20.9,20.3,20.4,-0.2,101
2026-01-26,8996,高力,391244,285033532,727.0,730.0,725.0,730.0,12.0,852
2026-01-26,9103,美德醫療-DR,829661,3872686,4.63,4.7,4.56,4.68,0.09,302
2026-01-26,910322,康師傅-DR,24728,576937,24.2,24.2,23.05,23.2,-1.15,47
2026-01-26,9105,泰金寶-DR,12531938,77067120,6.14,6.19,6.12,6.15,0.01,2819
2026-01-26,910861,神州-DR,4000,22640,5.66,5.66,5.66,5.66,0.0,3
2026-01-26,9110,越南控-DR,64034,201201,3.05,3.25,3.05,3.24,0.22,20
2026-01-26,911608,明輝-DR,230448,649964,2.69,2.86,2.69,2.86,0.26,97
2026-01-26,911622,泰聚亨-DR,24006,93572,3.87,3.95,3.87,3.95,0.08,17
2026-01-26,911868,同方友友-DR,182800,239489,1.3,1.33,1.3,1.32,0.02,60
2026-01-26,912000,晨訊科-DR,2470958,6831286,2.74,2.83,2.7,2.79,0.08,453
